11								;Size
5,3,7,2,0,5,0,7,0,4,0			;ColumnLimits
3,1,3,3,4,3,1,3,6,2,4			;RowLimits
5,5,4,4,3,3,3,2,2,1,1			;Empty = 1, Blocked = 2, Dot = 4, Up = 12, Down = 20, Left = 36, Right = 68, Vertical = 28, Horizontal = 100
001,001,001,001,001,001,001,001,001,001,001
001,001,001,001,001,001,001,001,001,001,001
001,001,020,001,001,001,001,001,001,001,001
001,001,001,001,001,002,001,001,001,001,001
001,001,001,001,001,001,001,001,001,001,001
001,001,001,002,001,001,001,012,001,001,001
001,001,001,001,001,001,002,001,001,001,001
001,001,001,001,001,001,001,001,001,020,001
001,001,001,036,001,001,001,001,001,001,001
001,001,001,001,001,001,001,001,001,001,001
001,001,001,001,001,001,001,001,001,001,001


